1	China	Shenzhen Rayvision Technology Co Ltd	3D CAT.live	https://www.3dcat.live/	Real-time rendering cloud service for 3D applications. The massive GPU computing power in the cloud is used to process heavy image rendering calculations and stream output to the terminal device synchronously, thereby realizing light weight of the terminal device and making high-quality 3D graphics applications ubiquitous. Users can use any common networked device to access the 3D application hosted in the 3DCAT cloud without downloading and installing the application. Supports almost all rendering engines that can run on the Windows platform, and supports the opening of NVIDIA RTX real-time ray tracing function.
2	United States	3D Slicer	3D Slicer	https://www.slicer.org/	3D Slicer is an open-source software platform for medical image informatics, image processing, and three-dimensional visualization. Slicer brings free, powerful cross-platform processing tools to physicians, researchers, and the general public.
3	United States	QT Imaging Inc	3D Ultrasound Tomography/Volography	https://www.qtimaging.com/	3D ultrasound breast, pediatric and whole body tomography.
4	France	Dassault Systemes	3DEXCITE DeltaGen	http://www.3dexcite.com/en/offering/software/author/3dexcite-deltagen	High-end 3D visualization and realtime interaction to help increase visual quality, speed, and flexibility.
5	Canada	Autodesk	3ds Max	https://www.autodesk.com/education/free-software/3ds-max	3D modeling, animation, and rendering
6	China	3vjia	3vjia Omniverse	https://www.3vjia.com	They wish to leverage the micro-services capability of Omniverse KIT to do the rendering from the backend and build light-weighted web clients for interaction.
7	Germany	ElGato	4K Capture Utility for Windows	https://www.elgato.com/en	ElGato sells Capture Cards and offers a capture software with them. The ElGato 4K60 Pro Mk.II capture card includes an implementation of the Video Codec SDK (i.e. NVENC).
8	Canada	Drastic Technologies	4kScope	https://www.drastic.tv/productsmenu-56/test-and-measurement/4kscope	4kScope software provides a real time, professional quality signal analysis tool for on set, production, post production, and research and development environments.
9	Singapore	6ESTATES PTE LTD	6Estates	https://www.6estates.com/	6estates provides Multilingual Natural Language Processing platform that automates document/data processing for various business documents including but not limited to financial statement, bank statement, invoice, MT700, Bill of Lading and Bill of Exchange.
10	United Kingdom	Future Facilities	6SigmaET	https://www.6sigmaet.info/software/features/	Thermal simulation software for the electronics industry. 6SigmaET's unique MLUS Computational Fluid Dynamics (CFD) solver predicts thermal issues in complex electronics equipment.
11	France	Ridgeway Kite	6X	http://ridgewaykite.com/6x/	Reservoir Simulation on Tesla
12	Canada	Drastic Technologies	8KScope	https://www.drastic.tv/productsmenu-56/test-and-measurement/318-drastic8kscope#tech-specs	Real time, professional quality signal analysis tool for on set, production, post production, and research and development environments.
13	United States	AI.Reverie	A leading provider of synthetic data to train machine learning algorithms.	aireverie.com	Self serve synthetic data platform to provide limitless supply of training data.
14	Germany	Dassault Systemes SIMULIA Corp.	Abaqus/CAE	https://www.3ds.com/products-services/simulia/products/abaqus/abaquscae/	Complete solution for Abaqus finite element modeling, visualization, and process automation
15	France	ABINIT	Abinit	http://www.abinit.org/about	Allows to find total energy, charge density and electronic structure of systems made of electrons and nuclei within DFT.
16	United States	MIT Sustainable Design Lab	Accelerad	https://nljones.github.io/Accelerad/	Accelerad is a free suite of programs for fast and accurate lighting and daylighting analysis and visualization.
17	United States	Elsen	Accelerated Computing Engine	https://elsen.co/platform	Secure, accessible, and accelerated back-testing, scenario analysis, risk analytics and real-time trading designed for easy integration and rapid development.
