N	COUNTRY	TITLE	URL	VIEWS	SUBSCRIBERS	VIDEOS	REGDATE
1	США	✿ Kids Diana Show	https://www.youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw	77411083775	97300000	1000	12 мая 2015 г.
2	США	Like Nastya	https://www.youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ	80153761860	97300000	694	6 декабря 2016 г.
3	Беларусь	A4	https://www.youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA	15999397373	40600000	626	29 ноября 2014 г.
4	Россия	Get Movies	https://www.youtube.com/user/getmovies	28323109702	40500000	3913	16 декабря 2006 г.
5	Россия	Маша и Медведь	https://www.youtube.com/user/MashaMedvedTV	32538895338	38400000	1180	31 мая 2011 г.
6	США	Masha and The Bear	https://www.youtube.com/user/MashaBearEN	18886570104	34400000	913	17 сентября 2014 г.
7	Великобритания	Mister Max	https://www.youtube.com/channel/UC_8PAD0Qmi6_gpe77S1Atgg	14636597292	23000000	1042	22 сентября 2014 г.
8	Великобритания	Miss Katy	https://www.youtube.com/channel/UCcartHVtvAUzfajflyeT_Gg	13139141524	21800000	985	17 ноября 2014 г.
9	США	★ Kids Roma Show	https://www.youtube.com/channel/UCx790OVgpTC1UVBQIqu3gnQ	6262333057	18800000	584	12 мая 2015 г.
10	США	Eva Bravo Play	https://www.youtube.com/channel/UCvYhgH0hXziSz9IyPztzUug	8795250360	18600000	348	7 мая 2019 г.
11	Россия	HiMan	https://www.youtube.com/user/HiBestMan	2293045558	18100000	321	16 октября 2014 г.
12	США	Мирошка ТВ	https://www.youtube.com/channel/UCUYA9nNP2Pgz5RF_oMvnqdQ	4588857839	18000000	73	20 февраля 2018 г.
13	Россия	Like Nastya Vlog	https://www.youtube.com/channel/UCCI5Xsd_gCbZb9eTeOf9FdQ	7496404363	17700000	388	14 января 2016 г.
14	Россия	Marmok	https://www.youtube.com/user/dj47maryn	3102971904	17600000	341	27 апреля 2008 г.
15	США	Vania Mania Kids	https://www.youtube.com/channel/UCLbyJSPEe2lx3jY-G0CFR3g	6560180347	17600000	799	9 сентября 2015 г.
16	Украина	Познаватель	https://www.youtube.com/user/ThePoznavatel	8395302445	17400000	472	20 октября 2014 г.
17	США	EeOneGuy	https://www.youtube.com/user/EeOneGuy	3800471024	17300000	362	19 марта 2013 г.
18	Россия	TheBrianMaps	https://www.youtube.com/user/TheBrianMaps	4056858100	16500000	475	4 июня 2012 г.
19	Россия	AdMe	https://www.youtube.com/channel/UCuVpbMt4yu4I9eAey3khnGg	3972650728	15500000	5287	20 апреля 2015 г.
20	США	Super Senya	https://www.youtube.com/channel/UCjx0-lAtcB7pTxT6MaGPs9g	4758632583	14800000	531	11 июля 2016 г.
21	США	Super Polina	https://www.youtube.com/channel/UCE76CBkDX591pxzps6bySOw	4810616258	14400000	533	8 июля 2014 г.
22	США	It&#039;s Mamix	https://www.youtube.com/channel/UCSF6ewY9LS8GnbphwvnZpUg	1522628384	14200000	197	1 февраля 2017 г.
23	США	Дима Масленников	https://www.youtube.com/user/pognalishow	1956669940	14000000	398	9 марта 2014 г.
24	Россия	Мастерская Настроения	https://www.youtube.com/user/MasterskayaNastroeny	3591494425	13900000	877	10 августа 2013 г.
25	Украина	Трум Трум	https://www.youtube.com/channel/UCq1JpGFxcZTbbOAz010U-og	6172114123	13800000	1960	12 октября 2015 г.
26		Kuplinov ► Play	https://www.youtube.com/user/KuplinovPlay	5675434048	13700000	6371	23 декабря 2012 г.
27	Россия	EdisonPts	https://www.youtube.com/user/EdisonPts	5476958179	13700000	3459	24 июня 2013 г.
28	Россия	Поззи	https://www.youtube.com/user/PozzitifonShow	6195365891	12900000	2983	17 мая 2012 г.
29	Беларусь	ГЛЕНТ	https://www.youtube.com/channel/UCBYvr4SqfGQd5fTmOXVQ4Zw	834671288	12600000	212	26 декабря 2019 г.
30	Украина	Lady Diana	https://www.youtube.com/channel/UCCB4-saKfwGbUFO2-rRdUqQ	7145728497	12500000	1256	21 марта 2016 г.
31	Россия	MrGear	https://www.youtube.com/channel/UCo6DJdltbIub80bLiyJRv3w	3237828098	11900000	765	17 июня 2015 г.
32	Россия	Компот	https://www.youtube.com/user/TastyCompot	5673287094	11800000	1830	26 октября 2013 г.
33	Россия	MORGENSHTERN	https://www.youtube.com/channel/UCWnqnojAgMdN0fQpr_xByJw	2046131297	11700000	128	7 июня 2013 г.
34	Россия	Луномосик	https://www.youtube.com/channel/UCdKEBeInDzinQ6MG2HkF7Gw	4891515299	11400000	451	4 октября 2015 г.
35	США	Ya - Alisa	https://www.youtube.com/channel/UCVbPnm-qCjH-8Yl1-k4BQkA	2124269130	11300000	316	30 апреля 2015 г.
36	Украина	Маша та Ведмідь	https://www.youtube.com/user/MashaBearUkraine	4894978792	11300000	976	17 июля 2014 г.
37	Украина	Magic Five	https://www.youtube.com/channel/UCEGfICV92gmM5w2t3gYfQDw	1738976911	11200000	403	19 июля 2016 г.
38	США	Влад и Никита	https://www.youtube.com/channel/UCppy4jafHu51iCMl-7qVbFA	6581840064	10900000	385	12 октября 2018 г.
39	Россия	AdamThomasMoran	https://www.youtube.com/user/AdamThomasMoran	2412795926	10600000	635	25 июля 2010 г.
40	Россия	СТС	https://www.youtube.com/user/ctctv	9091390749	10400000	10001	8 марта 2007 г.
41	Россия	Давай поиграем в игрушки	https://www.youtube.com/channel/UCC-7t96Wrq1d5lwygxOvufQ	3676922092	10200000	222	11 мая 2016 г.
42	США	KiKiDo	https://www.youtube.com/channel/UCWGK2_WVaXWv-QrkgT9-KDw	6910461408	10200000	704	2 ноября 2015 г.
43		вДудь	https://www.youtube.com/channel/UCMCgOm8GZkHp8zJ6l7_hIuA	1781840126	10100000	152	3 января 2014 г.
44	Россия	Viki Show	https://www.youtube.com/channel/UCnm_vYgguleXm0FL4F2vejg	4364094392	10100000	623	15 февраля 2016 г.
45	Россия	Wylsacom	https://www.youtube.com/user/Wylsacom	2568051195	10100000	3013	31 июля 2011 г.
